kepoi_name,median_candidate_probability,lower_90pct,upper_90pct,interval_width,probability_std
K04937.01,0.010288240812685447,0.0031121101613745977,0.051671378375251494,0.0485592682138769,0.016778051401813578
K00934.01,0.9602590322644521,0.937580164197181,0.9858740758567628,0.048293911659581745,0.013975388968640362
K06407.01,0.04774377379358674,0.01146624889375268,0.05964042767897193,0.04817417878521925,0.017753446181845323
K02013.01,0.8900556241162747,0.8674407391431688,0.9154937810042701,0.048053041861101375,0.01396509245431482
K02205.01,0.9513021326096882,0.9215443438231866,0.9694709553502385,0.04792661152705191,0.015198639080852314
K02294.01,0.9655403544501897,0.9281309243905345,0.9759787801031861,0.0478478557126516,0.0175327613560155
K02286.01,0.9545542770514748,0.9219043878402811,0.9693868415058475,0.04748245366556647,0.015318419051043931
K00825.01,0.9338588182441796,0.9078374518110207,0.9546552810965769,0.04681782928555622,0.014671108593999324
K06010.01,0.0248206176819789,0.011341219922546138,0.05804110751603389,0.046699887593487754,0.018194146604906
K05662.01,0.9323836772097924,0.8983403611752069,0.9449372884334878,0.04659692725828091,0.016085251402016828
K07547.01,0.042118794325868555,0.026449742416626648,0.07284320773342466,0.04639346531679801,0.013102092383036319
K00598.02,0.9350711347085074,0.9041988805022924,0.950590020894565,0.046391140392272656,0.01601615123170755
K01100.01,0.04962765035236849,0.03158893518349936,0.07792880373221359,0.046339868548714226,0.013860641027005845
K01216.01,0.9600693474591692,0.9265861667156405,0.9727718459878772,0.04618567927223671,0.0141067976298436
K06658.01,0.018354559722962516,0.014254257790863008,0.05968016457388713,0.04542590678302413,0.015888342105450634
K07857.01,0.09659970311717726,0.07368709409480788,0.1186945508252123,0.04500745673040442,0.013983854271050363
K07728.01,0.023337020072576722,0.011475642667533101,0.056314963186663465,0.044839320519130366,0.015947915125142487
K01487.01,0.025095595203289488,0.015179569864363586,0.059982690574336125,0.04480312070997254,0.0155940951335021
K00952.05,0.7490542443910597,0.7229756535094501,0.7677034420223907,0.04472778851294057,0.016782991562414883
K02174.01,0.9560448564032274,0.9247901052149171,0.9694919867482997,0.044701881533382615,0.014577612836128847
K03399.01,0.03829703447652863,0.014584799014221172,0.05922449042169143,0.04463969140747026,0.01704267473959263
K03098.01,0.015071247428631942,0.006296315081667669,0.05077336683422181,0.04447705175255414,0.01870411876620475
K06335.01,0.010409307153670869,0.004121669736954791,0.04839193548042871,0.04427026574347392,0.013478279492339876
K01275.01,0.9704461442427907,0.9405457261717969,0.984580304404307,0.04403457823251011,0.013097009297032489
K03699.01,0.028304026778336676,0.01519113765418838,0.0590630874025256,0.043871949748337226,0.015798262109317587
K00780.01,0.9502340771314499,0.9150713133895233,0.9589360724294269,0.04386475903990361,0.01946755676950526
K02213.01,0.943575336969576,0.9180234594056282,0.9616296001561901,0.043606140750561906,0.013130094122607214
K02532.01,0.9602639404141616,0.929713336226995,0.9732289628328287,0.043515626605833635,0.012691684602719024
K00015.01,0.020286636540637847,0.013567957489916394,0.05694014295803038,0.043372185468113986,0.016721128356710118
K03976.01,0.008334723957650877,0.005027127327095736,0.04815239176335494,0.0431252644362592,0.015295198276608322
K07053.01,0.011876482935865233,0.007511512971490291,0.050597226207738634,0.043085713236248345,0.017269511788624656
K01786.01,0.35417281853588245,0.3320516401328428,0.37502810398826103,0.04297646385541826,0.0203974016174387
K02182.01,0.9497635335138206,0.9206169805505752,0.9635774691338117,0.042960488583236534,0.014288331838137132
K06379.01,0.013313089069444724,0.009399439421095356,0.051979875015175855,0.0425804355940805,0.01537702393907345
K04547.01,0.009941138849427204,0.006491896042878054,0.04882000390659279,0.042328107863714735,0.012905406597931868
K02924.02,0.9582422827371992,0.9301613284647693,0.9723640076024858,0.04220267913771647,0.014318521349148622
K06535.01,0.04600981349256305,0.02763302243077,0.0696986586920074,0.04206563626123741,0.013588441774051276
K02774.01,0.7966299064426913,0.7776652000124576,0.8196686044153728,0.04200340440291517,0.054576354502989276
K07799.01,0.03749402856965928,0.02134492381278764,0.06329157591225142,0.04194665209946377,0.01201353170790931
